"y\x",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
10,"#",,,,"C",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","G",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,"H",,,,,,,,,,,,,,,"#"
11,"#",,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","H",".",,,,".",,,,,,,,,,,,,,,"#"
12,"#",,,,,,".",".",".",".",".",".",".",".",".",,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",,,,".",,".",,,,,,,,,,,,".",".",,,,,,,".",,,,,,,,,,,,,,,"#"
13,"#",,,,,,".",".",".",".",".",".",".",".",".",,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",,,,".",,".",,,,,,,,,,,,".",".",,,,,,,".",,,,,,,,,,,,,,,"#"
14,"#",,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",,,,".",,".",,,,,,,,,,,,".",".",,,,,,,".",,,,,,,,,,,,,,,"#"
15,"#",,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",,,,".",,".",,,,,,,,,,,,".",".",,,,,,,".",,,,,,,,,,,,,,,"#"
16,"#",,,,,,,,"H","H",,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","B",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","G",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,"#"
17,"#",,,,,,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","B",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,"#"
18,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,".",".",".",".",".",".",".",".",".",".",".",,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
19,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,".",".",".",".",".",".",".",".",".",".",".",,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
20,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,".",".",".",".",".",".",".",".",".",".",".",,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
21,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,".",".",".",".",".",".",".",".",".",".",".",,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
22,"#",,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","B",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","G",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,"H",,,,,,,,,,,,,,,"#"
23,"#",,,,"H",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,".",,,,,,,,,,,,,,,"#"
24,"#",,,,,,,,".",".",,,,,,,,,".",,".",,,,,,".",".",".",".",".",".",".",".",".",".",".",,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,".",,,,,,,,,,,,,,,"#"
25,"#",,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,".",,,,,,,,,,,,,,,"#"
26,"#",,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,".",,,,,,,,,,,,,,,"#"
27,"#",,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".","B",,,,,,,".",,,,,,,,,,,,,,,"#"
28,"#",,,,,,,,".",".",,,".","B",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","B",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","G",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","H",".",,,,,,,,,,,"#"
29,"#",,,,,,,,"H","H",,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","H",".",".",,,,,,,,,,,"#"
30,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
31,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
32,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
33,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
34,"#",,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","B",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","G",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","B",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,"H",,,,,,,,,,,,,,,"#"
35,"#",,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,"H",,,,,,,,,,,,,,,"#"
36,"#",,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,".",,,,,,,,,,,,,,,"#"
37,"#",,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,".",,,,,,,,,,,,,,,"#"
38,"#",,,,,,,,".",".",,,,,,,,,".",,"H",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,".",,,,,,,,,,,,,,,"#"
39,"#",,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,".",,,,,,,,,,,,,,,"#"
40,"#",,,,,,,,"H",".",,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","B",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","G",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,"#"
41,"#",,,,,,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","H",".",,,,,,,,,,,"#"
42,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,,,,,,,"#"
43,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,,,,,,,"#"
44,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,,,,,,,"#"
45,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,,,,,,,"#"
46,"#",,,,".",".",".",".",".",".",".","G",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","B",".",".",".",".",".",".",".",".",".",".",".",".",,".",,,,,,,,,,,,,,,"#"
47,"#",,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,"H",,,,,,,,,,,,,,,"#"
48,"#",,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,".",".",,,,,,,,,".",,".",,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,".",,,,,,,,,,,,,,,"#"
49,"#",,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,".",".",,,,,,,,,".",,".",,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,"H",,,,,,,,,,,,,,,"#"
50,"#",,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,,".",".",,,,,".",".",".",".","G",".",".",".",".",".",".",".",".",".",".",,,,".",".",,,,,,,,,".",,".",,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,".",,,,,,,,,,,,,,,"#"
51,"#",,,,,,,,".",".",,,,,,,,,".",,".",,,,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,,".",".",,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,".",".",,,,,,,,,".",,".",,,,,,,,,,,,".",".",,,,,,,".",,,,,,,,,,,,,,,"#"
52,"#",,,,,,,,".",".",,,"H",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","G",".",".",".",".","H",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","B",".",".",".",".",".",".",,,,,,,,,,,"#"
53,"#",,,,,,,,,,,,"H",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","B",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,"#"
54,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
55,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
56,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".","H",".",,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
57,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
58,"#",,,,".",".","H",".",".",".",".",".",".",".",".",".",".",".",".",".","B",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","G",".",".",".",".",,,,,,,,,,,,,,,,,,,"#"
59,"#",,,,"H",".",".",".","H",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","H",".",,,,,,,,,,,,,,,,,,,"#"
60,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,"H",".",".",".",".",".",".",".",".",".",".",".",".",".",".",,,,".",".",".",".",".",".",".",".",".",".",,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
61,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,".",".",".",".",".",".",".",".",".",".",,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
62,"#",,,,,,,,,,,,,,,,,,".",,,,,,,,,,,,,,,,,,,,,,,,"H",,,,,,".",".",".",".",".",".",".",".",".",".",,,,,,,,,"H",,,,,,,,,,,,,,,,,,,,,,,,"H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
63,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",".",".",".",".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
64,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H",".",".",".",".",".","H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
65,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",".",".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
66,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",".",".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
67,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",".",".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
68,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",".",".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
69,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",".",".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
70,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".","B",".","B",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
71,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",".",".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
72,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",".",".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
73,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",".",".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
74,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",".",".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,"H",".",".",".",".","H",".",".",".",".",".",".","H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
75,"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".",".",".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,".",".",".",".",".",".",".",".",".",".",".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
